test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
T114,TOC1,knockout,0.0,,,1.0,9.999797,WT,1.0,9.999797,3.3219,0.05,increased,increased,True,Hypocotyl_Length,1,easy,1,True,30,10.1016/j.xplc.2024.100833
T115,TOC1,overexpression,2.0,,,1.0,0.500195,WT,1.0,0.500195,-0.9994,0.05,decreased,decreased,True,Hypocotyl_Length,1,easy,1,True,22,10.1199/tab.0103
T116,TOC1,overexpression,2.0,,,1.0,0.500195,WT,1.0,0.500195,-0.9994,0.05,decreased,decreased,True,Hypocotyl_Length,1,easy,1,True,22,10.1016/j.xplc.2024.100833
T117,UVR8,knockout,0.0,,,1.0,9.996104,WT,1.0,9.996104,3.3214,0.05,increased,increased,True,Hypocotyl_Length,1,easy,1,True,42,10.1038/emboj.2009.4
T118,UVR8,overexpression,2.0,,,1.0,0.445707,WT,1.0,0.445707,-1.1658,0.05,decreased,decreased,True,Hypocotyl_Length,1,easy,1,True,29,10.1038/emboj.2009.4
T121,YUC2_YUC5_YUC8_YUC9,quadruple_knockout,0.0,,,1.0,0.990641,WT,1.0,0.990641,-0.0136,0.05,unchanged,decreased,False,Hypocotyl_Length,1,easy,1,True,11,10.1038/s41467-022-32585-6
T122,YUC8,knockout,0.0,,,1.0,0.990641,WT,1.0,0.990641,-0.0136,0.05,unchanged,decreased,False,Hypocotyl_Length,1,easy,1,True,11,10.1038/s41467-022-32585-6
T123,phyB-9,knockout,0.0,,,1.0,9.996577,WT,1.0,9.996577,3.3214,0.05,increased,increased,True,Hypocotyl_Length,1,easy,1,True,32,10.1126/sciadv.adh1738
T127,GID1A_GID1C,double_knockout,0.5,,,1.0,2.238329,WT,1.0,2.238329,1.1624,0.05,increased,decreased,False,Hypocotyl_Length,1,easy,1,True,44,10.1105/tpc.106.047415
T128,GID1A_GID1B,double_knockout,0.5,,,1.0,2.238329,WT,1.0,2.238329,1.1624,0.05,increased,increased,True,Hypocotyl_Length,1,easy,1,True,44,10.1105/tpc.106.047415
T129,GID1B_GID1C,double_knockout,0.99,,,1.0,1.011752,WT,1.0,1.011752,0.0169,0.05,unchanged,unchanged,True,Hypocotyl_Length,1,easy,1,True,29,10.1105/tpc.106.047415
T135,BAS1,knockout,0.0,,,1.0,0.990641,WT,1.0,0.990641,-0.0136,0.05,unchanged,increased,False,Hypocotyl_Length,1,easy,1,True,11,10.1534/g3.112.004580
T136,SOB7,knockout,0.0,,,1.0,9.999797,WT,1.0,9.999797,3.3219,0.05,increased,increased,True,Hypocotyl_Length,1,easy,1,True,30,10.1534/g3.112.004580
T137,BAS1_SOB7,double_knockout,0.0,,,1.0,9.904317,WT,1.0,9.904317,3.3081,0.05,increased,decreased,False,Hypocotyl_Length,2,medium,1,True,30,10.1534/g3.112.004580
T138,BAS1,overexpression,2.0,,,1.0,1.001275,WT,1.0,1.001275,0.0018,0.05,unchanged,decreased,False,Hypocotyl_Length,1,easy,1,True,6,10.1534/g3.112.004580
T139,BBX11,knockout,0.0,,,1.0,0.990123,WT,1.0,0.990123,-0.0143,0.05,unchanged,increased,False,Hypocotyl_Length,1,easy,1,True,32,10.1016/j.xplc.2020.100045
T140,BBX11,overexpression,2.0,,,1.0,1.001493,WT,1.0,1.001493,0.0022,0.05,unchanged,decreased,False,Hypocotyl_Length,1,easy,1,True,24,10.1016/j.xplc.2020.100045
T141,BBX11_BBX21,double_knockout,0.0,,,1.0,9.897337,WT,1.0,9.897337,3.307,0.05,increased,increased,True,Hypocotyl_Length,2,medium,1,True,36,10.1016/j.xplc.2020.100045
T146,PIN3_PIN4_PIN7,triple_knockout,0.1,,,1.0,0.990476,WT,1.0,0.990476,-0.0138,0.05,unchanged,decreased,False,Hypocotyl_Length,1,easy,1,True,37,10.3390/plants7040102
T147,FHY1,knockout,0.0,,,1.0,0.990123,WT,1.0,0.990123,-0.0143,0.05,unchanged,increased,False,Hypocotyl_Length,1,easy,1,True,32,10.1371/journal.pgen.1000143
T148,FHY1_FHL,double_knockout,0.0,,,1.0,0.990123,WT,1.0,0.990123,-0.0143,0.05,unchanged,increased,False,Hypocotyl_Length,1,easy,1,True,32,10.1371/journal.pgen.1000143
T151,HFR1,knockout,0.0,,,1.0,9.996577,WT,1.0,9.996577,3.3214,0.05,increased,increased,True,Hypocotyl_Length,1,easy,1,True,32,10.1105/tpc.109.067215
T153,BBX25,knockout,0.0,,,1.0,1.014495,WT,1.0,1.014495,0.0208,0.05,unchanged,decreased,False,Hypocotyl_Length,1,easy,2,True,51,10.1105/tpc.113.109751
T154,BBX25,overexpression,2.0,,,1.0,0.995683,WT,1.0,0.995683,-0.0062,0.05,unchanged,increased,False,Hypocotyl_Length,1,easy,2,True,40,10.1105/tpc.113.109751
T155,BBX24_BBX25,double_knockout,0.0,,,1.0,1.014495,WT,1.0,1.014495,0.0208,0.05,unchanged,decreased,False,Hypocotyl_Length,1,easy,2,True,51,10.1105/tpc.113.109751
T156,ABA_treatment,exogenous_treatment,1.0,ABA,1.0,1.0,0.500195,WT,1.0,0.500195,-0.9994,0.05,decreased,decreased,True,Hypocotyl_Length,1,easy,1,True,22,10.1093/aobpla/ply061
T157,pifQ,quadruple_knockout,0.0,,,1.0,0.985382,WT,1.0,0.985382,-0.0212,0.05,unchanged,decreased,False,Hypocotyl_Length,3,hard,1,True,50,10.1093/aobpla/ply061
T160,AVG_treatment,chemical_treatment,0.1,,,1.0,1.00964,WT,1.0,1.00964,0.0138,0.05,unchanged,increased,False,Hypocotyl_Length,1,easy,1,True,51,10.1105/tpc.114.127993
