method,accuracy,kappa,kappa_ci_lower,kappa_ci_upper,kappa_band,mcc,rigor_score,rigor_band,dars,dars_band,n_nodes,n_edges,n_tests,t_effective,mean_path_length,easy_n,easy_acc,easy_kappa,medium_n,medium_acc,medium_kappa,hard_n,hard_acc,hard_kappa,convergence_rate,parameters
Algebraic,88.3,0.7902,0.6647,0.9157,substantial,0.7411,10.3711,large-scale strong,10.6916,large-scale strong,35,81,77,102,2.03,54,88.9,0.7805,21,85.7,0.7812,2,100.0,,100.0,alpha=0.5
ODE,84.4,0.7293,0.5926,0.8661,substantial,0.6879,9.5725,large-scale strong,9.8684,large-scale strong,35,81,77,102,2.03,54,81.5,0.6525,21,90.5,0.8547,2,100.0,,98.7,"K=0.1, n=2, dt=0.1, max_time=50"
RWR,87.0,0.765,0.6344,0.8956,substantial,0.6853,10.0408,large-scale strong,10.3512,large-scale strong,35,81,77,102,2.04,54,88.9,0.7823,21,81.0,0.7053,2,100.0,,100.0,
BEST,88.3,0.7902,0.6647,0.9157,substantial,0.7411,10.3711,large-scale strong,10.6916,large-scale strong,35,81,77,102,2.03,54,88.9,0.7805,21,85.7,0.7812,2,100.0,,,best method: Algebraic
