test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
T082,D3,OE,2.0,,,1.0,0.198529,WT,1.0,0.198529,-2.3326,0.05,decreased,decreased,True,Shoot_Branching,1,easy,1,True,39,10.1111/nph.17834
T087,MAX2,KO,0.0,,,1.0,9.999836,WT,1.0,9.999836,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,35,10.1093/jxb/erm134
T094,BRC1,KO,0.0,,,1.0,9.999772,WT,1.0,9.999772,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,35,10.1242/dev.145649
T095,MAX2,KO,0.0,,,1.0,9.999836,WT,1.0,9.999836,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,35,10.1242/dev.145649
T096,BRC1,OE,2.0,,,1.0,0.500241,WT,1.0,0.500241,-0.9993,0.05,decreased,decreased,True,Shoot_Branching,1,easy,1,True,27,10.1242/dev.145649
T101,D53,KO,0.0,,,1.0,9.999797,WT,1.0,9.999797,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,30,10.1038/cr.2017.102
T103,MAX2,KO,0.0,,,1.0,9.999836,WT,1.0,9.999836,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,35,10.1105/tpc.15.00562
T104,SMXL7,KO,0.0,,,1.0,0.10005,WT,1.0,0.10005,-3.3212,0.05,decreased,decreased,True,Shoot_Branching,1,easy,2,True,35,10.1105/tpc.15.00562
T106,MAX2,KO,0.0,,,1.0,9.999836,WT,1.0,9.999836,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,35,10.1111/j.1365-313X.2007.03032.x
T107,MAX2,OE,2.0,,,1.0,0.198529,WT,1.0,0.198529,-2.3326,0.05,decreased,unchanged,False,Shoot_Branching,1,easy,1,True,39,10.1111/j.1365-313X.2007.03032.x
T108,MAX2,OE,2.0,,,1.0,0.198529,mutant,0.198529,1.0,0.0,0.05,unchanged,decreased,False,Shoot_Branching,1,easy,1,True,39,10.1111/j.1365-313X.2007.03032.x
T116,MAX2,KO,0.0,,,1.0,9.999836,WT,1.0,9.999836,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,35,10.1038/nature07272
T118,MAX2,KO,0.0,,,1.0,9.999836,WT,1.0,9.999836,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,35,10.1371/journal.pgen.1008023
T119,BRC1,KO,0.0,,,1.0,9.999772,WT,1.0,9.999772,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,35,10.1371/journal.pgen.1008023
T121,SMXL6,KO,0.0,,,1.0,0.10005,WT,1.0,0.10005,-3.3212,0.05,decreased,decreased,True,Shoot_Branching,1,easy,2,True,35,10.1105/tpc.15.00605
T122,SMXL6,OE,2.0,,,1.0,1.999777,WT,1.0,1.999777,0.9998,0.05,increased,increased,True,Shoot_Branching,1,easy,2,True,38,10.1105/tpc.15.00605
T123,MAX2,KO,0.0,,,1.0,9.999836,WT,1.0,9.999836,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,35,10.1105/tpc.15.00605
T126,BRC1,KO,0.0,,,1.0,9.999772,WT,1.0,9.999772,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,35,10.1038/s41467-020-15893-7
T131,D53,KO,0.0,,,1.0,9.999797,WT,1.0,9.999797,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,30,10.1038/nature12878
T132,D53,OE,2.0,,,1.0,0.500195,WT,1.0,0.500195,-0.9994,0.05,decreased,increased,False,Shoot_Branching,1,easy,1,True,22,10.1038/nature12878
T139,MAX2,KO,0.0,,,1.0,9.999836,WT,1.0,9.999836,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,35,10.1242/bio.021402
T140,SMXL6,OE,2.0,,,1.0,1.999777,WT,1.0,1.999777,0.9998,0.05,increased,decreased,False,Shoot_Branching,1,easy,2,True,38,10.1242/bio.021402
T141,rac-GR24,treatment,1.0,Strigolactone,1.0,1.0,0.397052,WT,1.0,0.397052,-1.3326,0.05,decreased,decreased,True,Shoot_Branching,1,easy,1,True,25,10.1242/bio.021402
T142,BRC1,KO,0.0,,,1.0,9.999772,WT,1.0,9.999772,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,35,10.1093/plphys/kiad034
T145,MAX2,KO,0.0,,,1.0,9.999836,WT,1.0,9.999836,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,35,10.1104/pp.112.211383
T148,MAX2,KO,0.0,,,1.0,9.999836,WT,1.0,9.999836,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,35,10.1038/nchembio.2147
T154,D53,KO,0.0,,,1.0,9.999797,WT,1.0,9.999797,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,30,10.1073/pnas.1810980116
T158,BRC1,KO,0.0,,,1.0,9.999772,WT,1.0,9.999772,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,35,10.1073/pnas.1613199114
T174,BRC1,KO,0.0,,,1.0,9.999772,WT,1.0,9.999772,3.3219,0.05,increased,increased,True,Shoot_Branching,1,easy,1,True,35,10.3389/fpls.2014.00741
T175,MAX2,OE,2.0,,,1.0,0.198529,mutant,0.198529,1.0,0.0,0.05,unchanged,decreased,False,Shoot_Branching,1,easy,1,True,39,10.3389/fpls.2014.00741
