test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
T091,GRF2,overexpression,2.0,,,0.0,0.022423,WT,0.0,1.022423,0.032,1e-05,increased,increased,True,Seed_Size,1,easy,2,True,5,10.5483/BMBRep.2019.52.4.051
T096,SEEDSTICK,knockout,0.0,,,0.0,-0.001989,WT,0.0,0.998011,-0.0029,1e-05,decreased,decreased,True,Seed_Size,1,easy,2,True,6,10.1104/pp.20.01267
T097,SEEDSTICK TT16,double_knockout,0.0,,,0.0,-0.001989,WT,0.0,0.998011,-0.0029,1e-05,decreased,decreased,True,Seed_Size,1,easy,2,True,6,10.1104/pp.20.01267
T099,BR_treatment,exogenous_treatment,1.0,Brassinosteroid,1.0,0.0,0.000327,WT,0.0,1.000327,0.0005,1e-05,increased,increased,True,Seed_Size,1,easy,5,True,11,10.1104/pp.113.217703
T100,GA_treatment,exogenous_treatment,1.0,Gibberellin,1.0,0.0,-0.002345,WT,0.0,0.997655,-0.0034,1e-05,decreased,increased,False,Seed_Size,1,easy,4,True,6,10.7554/eLife.20542
T101,Brassinazole,chemical_treatment,0.1,,,0.0,-0.000294,WT,0.0,0.999706,-0.0004,1e-05,decreased,decreased,True,Seed_Size,1,easy,5,True,11,10.1104/pp.113.217703
T102,"2,4-D_treatment",chemical_treatment,1.0,Auxin,1.0,0.0,0.003586,WT,0.0,1.003586,0.0052,1e-05,increased,increased,True,Seed_Size,1,easy,2,True,9,10.7554/eLife.20542
T103,DA1 UBP15,rescue_experiment,0.0,,,0.0,0.001814,mutant,0.001814,1.0,0.0,1e-05,unchanged,increased,False,Seed_Size,2,medium,2,True,14,10.1105/tpc.114.122663
T104,DA1 DA2 EOD1,triple_knockout,0.0,,,0.0,0.003363,WT,0.0,1.003363,0.0048,1e-05,increased,increased,True,Seed_Size,3,hard,2,True,14,10.1105/tpc.113.115063
T105,DA1 DAR1 DAR2,triple_knockout,0.0,,,0.0,0.000443,WT,0.0,1.000443,0.0006,1e-05,increased,increased,True,Seed_Size,1,easy,2,True,14,10.1105/tpc.113.115063
