test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
T059,SNRK2.2 SNRK2.3 SNRK2.6,triple_knockout,0.0,,,1.0,0.000861,WT,1.0,0.000861,-10.1823,0.05,decreased,increased,False,Lateral_Root_Density,1,easy,1,True,67,10.1126/scisignal.2005051
T060,PYR1 PYL1 PYL2 PYL4,quadruple_knockout,0.0,,,1.0,0.000861,WT,1.0,0.000861,-10.1823,0.05,decreased,increased,False,Lateral_Root_Density,1,easy,1,True,67,10.1126/scisignal.2005051
T061,MAX2,knockout,0.0,,,1.0,1.124116,WT,1.0,1.124116,0.1688,0.05,increased,increased,True,Lateral_Root_Density,1,easy,1,True,47,10.1111/ppl.13681
T062,D14,knockout,0.0,,,1.0,0.000861,WT,1.0,0.000861,-10.1823,0.05,decreased,increased,False,Lateral_Root_Density,1,easy,1,True,67,10.1111/ppl.13681
T064,MAX3,knockout,0.0,,,1.0,1.124116,WT,1.0,1.124116,0.1688,0.05,increased,increased,True,Lateral_Root_Density,1,easy,1,True,47,10.1111/ppl.13681
T065,MAX4,knockout,0.85,,,1.0,1.043978,WT,1.0,1.043978,0.0621,0.05,unchanged,unchanged,True,Lateral_Root_Density,1,easy,1,True,38,10.1111/ppl.13681
T066,MAX1,knockout,0.85,,,1.0,1.043978,WT,1.0,1.043978,0.0621,0.05,unchanged,unchanged,True,Lateral_Root_Density,1,easy,1,True,38,10.1111/ppl.13681
T067,HY5,knockout,0.0,,,1.0,0.000861,WT,1.0,0.000861,-10.1823,0.05,decreased,increased,False,Lateral_Root_Density,1,easy,1,True,67,10.1105/tpc.17.00771
T068,HY5 HYH,double_knockout,0.0,,,1.0,0.000861,WT,1.0,0.000861,-10.1823,0.05,decreased,increased,False,Lateral_Root_Density,1,easy,1,True,67,10.1105/tpc.17.00771
T069,PHYB,knockout,0.0,,,1.0,0.000861,WT,1.0,0.000861,-10.1823,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,1,True,67,10.1105/tpc.17.00771
T070,PHYA,knockout,0.0,,,1.0,0.000861,WT,1.0,0.000861,-10.1823,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,1,True,67,10.1105/tpc.17.00771
T071,PIN3,knockout,0.5,,,1.0,0.139284,WT,1.0,0.139284,-2.8439,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,1,True,66,10.1105/tpc.17.00771
T072,LAX3,knockout,0.0,,,1.0,0.000861,WT,1.0,0.000861,-10.1823,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,1,True,67,10.1105/tpc.17.00771
T073,ACC,acc_treatment,1.0,Ethylene,1.0,1.0,0.563374,WT,1.0,0.563374,-0.8278,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,1,True,59,10.1111/j.1365-313X.2008.03495.x
T074,AgNO3,chemical_treatment,0.0,,,1.0,1.124116,WT,1.0,1.124116,0.1688,0.05,increased,increased,True,Lateral_Root_Density,1,easy,1,True,47,10.1111/j.1365-313X.2008.03495.x
T075,IAA,exogenous_treatment,1.0,Auxin,1.0,1.0,4.49915,WT,1.0,4.49915,2.1697,0.05,increased,increased,True,Lateral_Root_Density,1,easy,1,True,79,10.1101/cshperspect.a039933
T076,NAA,exogenous_treatment,1.0,Auxin,1.0,1.0,4.49915,WT,1.0,4.49915,2.1697,0.05,increased,increased,True,Lateral_Root_Density,1,easy,1,True,79,10.1105/tpc.106.047761
T077,ABA,exogenous_treatment,1.0,ABA,1.0,1.0,0.563374,WT,1.0,0.563374,-0.8278,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,1,True,59,10.1105/tpc.110.074641
T078,Zeatin,exogenous_treatment,1.0,Cytokinin,1.0,1.0,0.563374,WT,1.0,0.563374,-0.8278,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,1,True,59,10.1105/tpc.110.074641
T079,TIBA,chemical_treatment,0.1,,,1.0,0.001983,WT,1.0,0.001983,-8.9778,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,1,True,67,10.1105/tpc.110.074641
T080,NPA,chemical_treatment,0.1,,,1.0,0.001983,WT,1.0,0.001983,-8.9778,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,1,True,67,10.1101/cshperspect.a039941
T081,GR24,exogenous_SL,1.0,Strigolactone,1.0,1.0,0.563374,WT,1.0,0.563374,-0.8278,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,1,True,59,10.1111/ppl.13681
T082,KNO3_10mM,high_nitrate_treatment,0.0,,,1.0,0.000861,WT,1.0,0.000861,-10.1823,0.05,decreased,decreased,True,Lateral_Root_Density,1,easy,1,True,67,10.3390/genes11060633
T083,KNO3_patch,treatment,2.0,,,1.0,4.49915,WT,1.0,4.49915,2.1697,0.05,increased,increased,True,Lateral_Root_Density,1,easy,1,True,79,10.3390/genes11060633
T084,Glutamate,exogenous_treatment,2.0,,,1.0,4.49915,WT,1.0,4.49915,2.1697,0.05,increased,increased,True,Lateral_Root_Density,1,easy,1,True,79,10.3390/genes11060633
T085,Low_Phosphate,environmental,1.0,low phosphate,1.0,1.0,4.49915,WT,1.0,4.49915,2.1697,0.05,increased,increased,True,Lateral_Root_Density,1,easy,1,True,79,10.1101/cshperspect.a039933
