test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
T049,PIF4,knockout,0.99,,,1.0,1.026279,WT,1.0,1.026279,0.0374,0.05,unchanged,decreased,False,Plant_Height,1,easy,1,True,33,10.1016/j.cub.2009.06.046
T050,PIF4,double_knockout,0.0,,,1.0,8.999164,WT,1.0,8.999164,3.1698,0.05,increased,decreased,False,Plant_Height,1,easy,1,True,87,10.3389/fpls.2019.00914
T051,PIF3,quadruple_knockout,0.0,,,1.0,8.999164,WT,1.0,8.999164,3.1698,0.05,increased,decreased,False,Plant_Height,1,easy,1,True,87,10.1105/tpc.108.060996
T052,PIF4,overexpression,2.0,,,1.0,0.139284,WT,1.0,0.139284,-2.8439,0.05,decreased,increased,False,Plant_Height,1,easy,1,True,66,10.1038/nature03543
T053,phyB,knockout,0.0,,,1.0,0.000868,WT,1.0,0.000868,-10.1692,0.05,decreased,increased,False,Plant_Height,1,easy,1,True,67,10.1105/tpc.5.2.147
T054,CO,knockout,0.0,,,1.0,0.000868,WT,1.0,0.000868,-10.1692,0.05,decreased,increased,False,Plant_Height,1,easy,1,True,67,10.1016/S0092-8674(00)80637-1
T055,CO,overexpression,2.0,,,1.0,1.106846,WT,1.0,1.106846,0.1465,0.05,increased,decreased,False,Plant_Height,1,easy,1,True,46,10.1038/35074138
T056,GI,knockout,0.0,,,1.0,0.000868,WT,1.0,0.000868,-10.1692,0.05,decreased,increased,False,Plant_Height,1,easy,1,True,67,10.1073/pnas.1415375111
T057,FKF1,knockout,0.0,,,1.0,0.000868,WT,1.0,0.000868,-10.1692,0.05,decreased,increased,False,Plant_Height,1,easy,1,True,67,10.1073/pnas.1415375111
T058,ZTL,knockout,0.0,,,1.0,0.000868,WT,1.0,0.000868,-10.1692,0.05,decreased,decreased,True,Plant_Height,1,easy,1,True,67,10.1073/pnas.1415375111
T059,CDF1,overexpression,2.0,,,1.0,1.106846,WT,1.0,1.106846,0.1465,0.05,increased,increased,True,Plant_Height,1,easy,1,True,46,10.1073/pnas.1415375111
T060,FT,knockout,0.0,,,1.0,0.000868,WT,1.0,0.000868,-10.1692,0.05,decreased,increased,False,Plant_Height,1,easy,1,True,67,10.1126/science.286.5446.1962
T061,FT,overexpression,2.0,,,1.0,1.106846,WT,1.0,1.106846,0.1465,0.05,increased,decreased,False,Plant_Height,1,easy,1,True,46,10.1126/science.286.5446.1962
