iteration,max_abs_delta_t,Decapitation,Low_R_FR,Nitrogen,Photoperiod,Sucrose,miR156,MAX2,ABA2,D27,MAX1,LBO,Auxin,CCD7,CCD8,Strigolactone,D14,SMXL678,BES1,GA,GA2OX,DELLA,SPL9,BRC1,IPT,CKX9,Cytokinin,PIN1,PIN3,FHY3,T6P,FT,HB21,NCED3,ABA,TIE1,ARR1,CAMEL,Shoot_Branching
24,2.27E-07,1,1,1,1,1,1,2.82E-13,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227773,0.562341441,1,1,1,17.37800828
25,7.69E-08,1,1,1,1,1,1,8.47E-14,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227768,0.562341364,1,1,1,17.37800828
26,2.59E-08,1,1,1,1,1,1,2.54E-14,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227767,0.562341338,1,1,1,17.37800829
27,8.66E-09,1,1,1,1,1,1,7.63E-15,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.56234133,1,1,1,17.37800829
28,2.88E-09,1,1,1,1,1,1,2.29E-15,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341327,1,1,1,17.37800829
29,9.54E-10,1,1,1,1,1,1,6.86E-16,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341326,1,1,1,17.37800829
30,3.14E-10,1,1,1,1,1,1,2.06E-16,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
31,1.03E-10,1,1,1,1,1,1,6.18E-17,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
32,3.37E-11,1,1,1,1,1,1,1.85E-17,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
33,1.10E-11,1,1,1,1,1,1,5.56E-18,1,1,1,1,1,1,1,1,1,10,10,1,1,1,0.1,0.004641589,1,1,1,1.584893192,10,1,1,1,0.1,0.316227766,0.562341325,1,1,1,17.37800829
