network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Plant Height,E0061,ATNUP160,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0062,pht4;1-1,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0063,KAK,GENE,Plant_Height,PHENOTYPE,-1,repression,,0,
Plant Height,E0064,ATSIZ1,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0065,null mutations in c3,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0066,MIR159,REGULATORY_RNA,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0067,WT,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0068,GSF,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0069,Increased expression,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0070,IX,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0071,AT-HSC70-1,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0072,restoration of ligni,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0073,ATSEC8,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0074,β-estradiol treatmen,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0075,RPS4,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0076,FM,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0077,ATCRT3,GENE,Plant_Height,PHENOTYPE,-1,repression,,0,
Plant Height,E0078,CAMTA1,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0079,ANQ1,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0080,AUTOIMMUNITY,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0081,Auxin,HORMONE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0082,ATLMCO4,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0083,Inability to salvage,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0084,brassinazole treatme,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0085,BNCHMP7,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0086,sup6-2,GENE,Plant_Height,PHENOTYPE,-1,repression,,0,
Plant Height,E0087,SWEETIE,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0088,Reduced cellulose an,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0089,FHY3,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0090,DFL1,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0091,THF,GENE,Plant_Height,PHENOTYPE,-1,repression,,0,
Plant Height,E0092,DELLA,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0093,CAC3,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0094,Genetic lesion,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0095,A. thaliana overexpr,GENE,Plant_Height,PHENOTYPE,-1,repression,,0,
Plant Height,E0096,CK,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0097,ATICS1,GENE,Plant_Height,PHENOTYPE,-1,repression,,0,
Plant Height,E0098,S891D,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0099,GA2OX,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0100,CRWN,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0101,Overexpression of Na,GENE,Plant_Height,PHENOTYPE,-1,repression,,0,
Plant Height,E0102,ATIAMT1,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0103,S2LB,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0104,PP4R3,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0105,DEXAMETHASONE,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0106,EDS,GENE,Plant_Height,PHENOTYPE,-1,repression,,0,
Plant Height,E0107,BR6OX2,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0108,PRE1,GENE,Plant_Height,PHENOTYPE,-1,repression,,0,
Plant Height,E0109,ATSWI3B,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0110,ATMPK4,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0111,METHOTREXATE,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0112,MED33B,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0113,Deficiency of thermo,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0114,ANAC104,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0115,vamp721vamp722 doubl,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0116,development of MrCBF,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0117,ATEDS1,GENE,Plant_Height,PHENOTYPE,-1,repression,,0,
Plant Height,E0118,GA2OX5,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0119,PS,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0120,Growth at 28°C,GENE,Plant_Height,PHENOTYPE,-1,repression,,0,
Plant Height,E0121,35S:PvTDIFL1 transge,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0122,ABCB25,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0123,Actin from Candida a,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0124,ATPAD4,GENE,Plant_Height,PHENOTYPE,-1,repression,,0,
Plant Height,E0125,ALDH5F1,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0126,AUR3,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0127,ATLAC17,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0128,overexpression of Pt,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0129,DAF1,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0130,LL,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0131,5FU,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0132,ATGA2OX4,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0133,ATMKK7,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0134,ATC4H,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0135,BL,GENE,Plant_Height,PHENOTYPE,-1,repression,,0,
Plant Height,E0136,BSL2,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0137,ATFTSH4,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
