test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
T038,NAA_treatment,treatment,1.0,Auxin,1.0,1.0,1.148552,WT,1.0,1.148552,0.1998,0.05,increased,increased,True,Plant_Height,1,easy,4,True,43,10.3389/fpls.2018.01395
T039,TaARF4-B_haplotype,loss_of_function,0.5,,,1.0,0.870916,WT,1.0,0.870916,-0.1994,0.05,decreased,decreased,True,Plant_Height,1,easy,7,True,50,10.1093/aob/mcy218
T040,Rht-B1b_plus_GA3,gain_of_function_plus_treatment,2.0,Gibberellin,1.0,1.0,1.687951,mutant,0.441092,3.826752,1.9361,0.05,increased,unchanged,False,Plant_Height,2,medium,1,True,47,10.1093/plphys/kiad636
T041,Paclobutrazol_treatment,chemical_treatment,0.1,,,1.0,0.366091,WT,1.0,0.366091,-1.4497,0.05,decreased,decreased,True,Plant_Height,1,easy,4,True,46,10.1093/jxb/eraf151
T042,Brassinazole_treatment,chemical_treatment,0.1,,,1.0,0.002731,WT,1.0,0.002731,-8.5162,0.05,decreased,decreased,True,Plant_Height,1,easy,5,True,81,10.1007/s00122-022-04158-0
T043,Brassinolide_treatment,treatment,1.0,Brassinosteroid,1.0,1.0,39.810635,WT,1.0,39.810635,5.3151,0.05,increased,increased,True,Plant_Height,1,easy,4,True,84,10.1186/s12870-025-06762-w
T044,TaBRI1_triple_plus_BL,triple_knockout,0.0,Brassinosteroid,1.0,1.0,0.002731,mutant,0.002731,1.0,0.0,0.05,unchanged,unchanged,True,Plant_Height,2,medium,3,True,60,10.1186/s12870-025-06762-w
T045,TaDWF4,overexpression,2.0,,,1.0,39.50102,WT,1.0,39.50102,5.3038,0.05,increased,increased,True,Plant_Height,1,easy,5,False,100,10.1038/s42003-022-03139-9
T046,TaERF-A1_oe,overexpression,2.0,,,1.0,1.148436,WT,1.0,1.148436,0.1997,0.05,increased,increased,True,Plant_Height,1,easy,2,True,24,10.1016/j.xplc.2024.101194
T047,TaERF-A1_JD6,loss_of_function,0.0,,,1.0,0.398344,WT,1.0,0.398344,-1.3279,0.05,decreased,decreased,True,Plant_Height,1,easy,2,True,36,10.1016/j.xplc.2024.101194
T048,TaPIF4_oe,overexpression,2.0,,,1.0,1.148436,WT,1.0,1.148436,0.1997,0.05,increased,increased,True,Plant_Height,1,easy,1,True,24,10.1016/j.xplc.2024.101194
T049,TaPIF4_ko,knockout,0.0,,,1.0,0.39829,WT,1.0,0.39829,-1.3281,0.05,decreased,decreased,True,Plant_Height,1,easy,1,True,31,10.1016/j.xplc.2024.101194
T050,TaOSCA1.4_RNAi,knockdown,0.1,,,1.0,0.631163,WT,1.0,0.631163,-0.6639,0.05,decreased,decreased,True,Plant_Height,1,easy,1,True,21,10.3389/fpls.2024.1381243
T051,Ppd-D1a,gain_of_function,2.0,,,1.0,0.500241,WT,1.0,0.500241,-0.9993,0.05,decreased,decreased,True,Plant_Height,1,easy,1,True,27,10.3389/fpls.2018.01312
T052,Rht12b,gain_of_function,2.0,,,1.0,0.738873,WT,1.0,0.738873,-0.4366,0.05,decreased,decreased,True,Plant_Height,1,easy,5,True,41,10.1007/s00122-023-04502-y
T053,High_Nitrate_treatment,high_nitrate_treatment,1.0,Nitrogen,1.0,1.0,3.06759,WT,1.0,3.06759,1.6171,0.05,increased,increased,True,Plant_Height,1,easy,2,True,39,10.1016/j.cub.2021.09.024
T054,Low_Nitrogen,environmental,0.1,,,1.0,0.03161,WT,1.0,0.03161,-4.9835,0.05,decreased,decreased,True,Plant_Height,1,easy,2,True,36,10.1016/j.cub.2021.09.024
