method,accuracy,kappa,kappa_ci_lower,kappa_ci_upper,kappa_band,mcc,rigor_score,rigor_band,dars,dars_band,n_nodes,n_edges,n_tests,t_effective,mean_path_length,easy_n,easy_acc,easy_kappa,medium_n,medium_acc,medium_kappa,hard_n,hard_acc,hard_kappa,convergence_rate,parameters
Algebraic,80.0,0.6473,0.548,0.7466,substantial,0.5544,9.5588,large-scale strong,9.8359,large-scale strong,69,100,165,222,3.09,109,92.7,0.8535,55,54.5,0.3006,1,100.0,,99.4,"geometric-mean activation, bounded-inverse inhibition (default)"
ODE,78.8,0.6263,0.5228,0.7297,substantial,0.62,9.2481,large-scale strong,9.5162,large-scale strong,69,100,165,222,3.09,109,83.5,0.6725,55,69.1,0.5256,1,100.0,,100.0,"K=1.0, n=2 (sensitivity sweep over 24 combinations)"
RWR,62.4,0.3463,0.231,0.4616,fair,0.251,5.1136,small-scale solid,5.2619,small-scale solid,69,100,165,222,3.09,109,74.3,0.5222,55,40.0,0.0417,1,0.0,,100.0,alpha=0.9 (sensitivity sweep over 9 values)
BEST,80.0,0.6473,0.548,0.7466,substantial,0.5544,9.5588,large-scale strong,9.8359,large-scale strong,69,100,165,222,3.09,109,92.7,0.8535,55,54.5,0.3006,1,100.0,,,best method: Algebraic
